번호,가맹점명,승인일시,승인금액,할부,카드사,승인번호,구분,TID
1428,시앤유,2025-12-14 17:17:21,"5,000,000",일시불,02,46112117,승인,WNO1754986085
1429,시앤유,2025-12-14 17:17:04,"5,000,000",일시불,02,46103358,승인,WNO1754986085
1430,시앤유,2025-12-14 17:16:40,"4,490,000",일시불,02,46100778,승인,WNO1754986085
1431,시앤유,2025-12-14 17:16:20,"5,000,000",일시불,02,46088605,승인,WNO1754986085
1432,시앤유,2025-12-14 17:15:47,"5,000,000",일시불,02,46085170,승인,WNO1754986085
1433,시앤유,2025-12-14 17:15:28,"5,000,000",일시불,02,46083041,승인,WNO1754986085
1434,시앤유,2025-12-14 17:14:47,"1,060,000",일시불,05,52542089,승인,WNO1754986085
1435,시앤유,2025-12-14 17:14:24,"340,000",일시불,05,53582242,승인,WNO1754986085
1436,시앤유,2025-12-14 17:13:57,"5,000,000",5개월,07,30005204,승인,WNO1754986085
1437,신나라콜라텍1,2025-12-14 16:49:40,"5,000",일시불,02,45747721,승인,1047334507
1438,귀한족발가락시장점,2025-12-14 16:45:10,"45,000",일시불,12,62253663,승인,1047365675
1439,신나라콜라텍1,2025-12-14 16:44:12,"17,000",일시불,07,30005634,승인,1047334507
1440,신나라콜라텍1,2025-12-14 16:28:06,"4,000",일시불,31,84480189,승인,1047334507
1441,신나라콜라텍2,2025-12-14 16:21:03,"4,000",일시불,31,85720175,승인,1047334508
1442,신나라콜라텍1,2025-12-14 16:13:02,"15,000",일시불,02,45287082,승인,1047334507
1443,신나라콜라텍2,2025-12-14 16:12:57,"23,000",일시불,02,45286609,승인,1047334508
1444,신나라콜라텍1,2025-12-14 16:00:54,"7,000",일시불,07,30117282,승인,1047334507
1445,가을다방,2025-12-14 15:58:14,"19,000",일시불,02,26115327,승인,1047388121
1446,신나라콜라텍3,2025-12-14 15:48:18,"4,500",일시불,12,61713632,승인,1047334509
1447,가을다방,2025-12-14 15:48:16,"15,000",일시불,02,30013092,승인,1047388121
1448,신나라콜라텍2,2025-12-14 15:31:45,"4,000",일시불,01,36020626,승인,1047334508
1449,신나라콜라텍2,2025-12-14 15:30:45,"14,000",일시불,02,44755655,승인,1047334508
1450,신나라콜라텍2,2025-12-14 15:24:08,"15,000",일시불,02,44666829,승인,1047334508
1451,신나라콜라텍2,2025-12-14 15:20:48,"13,000",일시불,01,35961853,승인,1047334508
1452,신나라콜라텍2,2025-12-14 15:16:23,"17,000",일시불,11,35931246,승인,1047334508
1453,신나라콜라텍1,2025-12-14 15:14:28,"13,000",일시불,01,35916095,승인,1047334507
1454,신나라콜라텍2,2025-12-14 15:12:37,"3,000",일시불,07,30029669,승인,1047334508
1455,신나라콜라텍2,2025-12-14 15:04:59,"15,000",일시불,02,44416818,승인,1047334508
1456,신나라콜라텍2,2025-12-14 14:57:11,"23,000",일시불,07,30033563,승인,1047334508
1457,신나라콜라텍2,2025-12-14 14:56:16,"16,000",일시불,02,44298555,승인,1047334508
1458,가을다방,2025-12-14 14:56:08,"9,500",일시불,06,44275568,승인,1047388121
1459,신나라콜라텍2,2025-12-14 14:54:39,"32,000",일시불,07,30023139,승인,1047334508
1460,신나라콜라텍1,2025-12-14 14:47:07,"8,000",일시불,01,35774006,승인,1047334507
1461,신나라콜라텍2,2025-12-14 14:45:10,"14,000",일시불,02,44149877,승인,1047334508
1462,신나라콜라텍2,2025-12-14 14:43:47,"19,000",일시불,07,30029647,승인,1047334508
1463,신나라콜라텍3,2025-12-14 14:42:30,"2,000",일시불,12,61034383,승인,1047334509
1464,신나라콜라텍2,2025-12-14 14:36:04,"18,000",일시불,01,35715434,승인,1047334508
1465,신나라콜라텍2,2025-12-14 14:34:11,"17,000",일시불,12,60946415,승인,1047334508
1466,신나라콜라텍2,2025-12-14 14:21:27,"13,000",일시불,12,60810886,승인,1047334508
1467,신나라콜라텍2,2025-12-14 14:18:37,"6,000",일시불,12,60780039,승인,1047334508
1468,신나라콜라텍2,2025-12-14 14:17:56,"19,000",일시불,01,35630073,승인,1047334508
1469,신나라콜라텍2,2025-12-14 14:09:49,"13,000",일시불,02,43686157,승인,1047334508
1470,신나라콜라텍2,2025-12-14 14:06:46,"26,000",일시불,12,60650805,승인,1047334508
1471,크라운족발야탑점,2025-12-14 14:06:08,"24,000",일시불,06,43621493,승인,1047363149
1472,신나라콜라텍2,2025-12-14 14:05:33,"29,000",일시불,02,43632274,승인,1047334508
1473,신나라콜라텍2,2025-12-14 14:04:20,"10,000",일시불,12,60623748,승인,1047334508
1474,신나라콜라텍2,2025-12-14 14:03:41,"16,000",일시불,12,60616526,승인,1047334508
1475,신나라콜라텍2,2025-12-14 13:58:34,"5,000",일시불,01,35520379,승인,1047334508
1476,귀한족발가락시장점,2025-12-14 13:57:13,"57,000",일시불,06,43489641,승인,1047365675
1477,신나라콜라텍2,2025-12-14 13:51:08,"95,000",일시불,01,35481549,승인,1047334508
1478,신나라콜라텍2,2025-12-14 13:49:06,"6,000",일시불,02,43406263,승인,1047334508
1479,신나라콜라텍2,2025-12-14 13:48:18,"13,000",일시불,12,60447542,승인,1047334508
1480,신나라콜라텍2,2025-12-14 13:33:28,"20,000",일시불,07,30064948,승인,1047334508
1481,신나라콜라텍2,2025-12-14 13:32:17,"24,000",일시불,31,82901189,승인,1047334508
1482,신나라콜라텍1,2025-12-14 13:27:01,"11,000",일시불,07,30022531,승인,1047334507
1483,신나라콜라텍1,2025-12-14 13:26:33,"26,000",일시불,07,30117271,승인,1047334507
1484,신나라콜라텍2,2025-12-14 13:25:37,"29,000",일시불,31,84640103,승인,1047334508
1485,신나라콜라텍2,2025-12-14 13:15:56,"10,000",일시불,03,25304804,승인,1047334508
1486,신나라콜라텍2,2025-12-14 13:06:29,"14,000",일시불,27,21431707,승인,1047334508
1487,기분좋은타이,2025-12-14 13:05:08,"66,000",일시불,07,00725776,승인,1047373153
1488,신나라콜라텍2,2025-12-14 13:01:25,"14,000",일시불,12,59930436,승인,1047334508
1489,신나라콜라텍2,2025-12-14 12:57:57,"4,000",일시불,07,30056335,승인,1047334508
1490,신나라콜라텍2,2025-12-14 12:53:37,"22,000",일시불,01,35184158,승인,1047334508
1491,신나라콜라텍2,2025-12-14 12:52:42,"17,000",일시불,12,59835374,승인,1047334508
1492,신나라콜라텍2,2025-12-14 12:47:12,"4,000",일시불,07,30023595,승인,1047334508
1493,신나라콜라텍2,2025-12-14 12:45:39,"19,000",일시불,12,59758582,승인,1047334508
1494,신나라콜라텍2,2025-12-14 12:41:05,"16,000",일시불,04,00895426,승인,1047334508
1495,신나라콜라텍2,2025-12-14 12:39:14,"30,000",일시불,04,00007453,승인,1047334508
1496,에스케이클린텍(사),2025-12-14 12:37:44,"420,000",일시불,03,63802073,승인,WNO1761703600
1497,신나라콜라텍2,2025-12-14 12:35:16,"19,000",일시불,01,35078405,승인,1047334508
1498,신나라콜라텍2,2025-12-14 12:32:29,"13,000",일시불,04,00925528,승인,1047334508
1499,신나라콜라텍2,2025-12-14 12:26:25,"20,000",일시불,07,30073843,승인,1047334508
1500,신나라콜라텍2,2025-12-14 12:21:40,"23,000",일시불,07,30017239,승인,1047334508
1501,신나라콜라텍1,2025-12-14 12:21:17,"13,000",일시불,07,30008179,승인,1047334507
1502,신나라콜라텍2,2025-12-14 12:12:12,"24,000",일시불,12,59409110,승인,1047334508
1503,신나라콜라텍2,2025-12-14 12:01:23,"23,000",일시불,04,00414185,승인,1047334508
1504,신나라콜라텍2,2025-12-14 11:38:31,"31,000",일시불,07,30007675,승인,1047334508
1505,라온호텔호남뷔페,2025-12-14 09:07:11,"12,000",일시불,12,58132388,승인,1047401852
1506,라온호텔호남뷔페,2025-12-14 07:48:14,"12,000",일시불,08,46939083,승인,1047401852
1507,라온호텔호남뷔페,2025-12-14 07:07:15,"36,000",일시불,01,33949693,승인,1047401852
1508,한우농가(즉),2025-12-14 06:33:07,"450,000",일시불,04,95191630,승인,1047406297
1509,신세계,2025-12-14 05:57:11,"270,000",일시불,04,81539225,승인,1047380775
1510,거북이(즉),2025-12-14 04:59:06,"130,000",일시불,04,55740851,승인,1047406300
1511,거북이(즉),2025-12-14 04:59:06,"260,000",일시불,08,59407121,승인,1047406300
1512,거북이(즉),2025-12-14 04:42:12,"620,000",일시불,08,64164120,승인,1047406300
1513,거북이(즉),2025-12-14 04:41:12,"310,000",일시불,04,88249607,승인,1047406300
1514,럭셔리(즉),2025-12-14 03:35:08,"880,000",일시불,07,00249315,승인,1047406302
1515,풀하우스(즉),2025-12-14 02:58:16,"230,000",일시불,07,00663171,승인,1047400436
1516,풀하우스(즉),2025-12-14 02:44:15,"25,000",일시불,07,00912538,승인,1047400436
1517,광성,2025-12-14 02:37:15,"440,000",일시불,06,39669961,승인,1047403504
1518,도화(즉),2025-12-14 02:34:09,"260,000",일시불,06,39673372,승인,1047363480
1519,체리,2025-12-14 02:31:16,"110,000",일시불,03,46374265,승인,1047377197
1520,한우농가(즉),2025-12-14 02:01:16,"1,280,000",일시불,02,30094792,승인,1047406297
1521,골탕,2025-12-14 00:27:09,"44,000",일시불,02,30119866,승인,1047385085
1522,기분좋은타이,2025-12-14 00:01:13,"132,000",일시불,02,30070202,승인,1047373153
1523,골탕,2025-12-13 23:52:15,"44,000",일시불,01,33153070,승인,1047385085
1524,골탕,2025-12-13 23:32:15,"65,000",일시불,06,38556009,승인,1047385085
1525,어부의딸,2025-12-13 23:19:15,"120,000",일시불,07,00578248,승인,1047375472
1526,무지개노래클럽(즉),2025-12-13 23:17:12,"400,000",일시불,01,33026310,승인,1047385323
1527,미스트롯칠공팔공,2025-12-13 22:54:15,"120,000",일시불,02,25015268,승인,1047384064
1528,골탕,2025-12-13 22:12:14,"59,000",일시불,06,38015875,승인,1047385085
1529,귀한족발가락시장점,2025-12-13 22:07:12,"46,000",일시불,07,00059811,승인,1047365675
1530,골탕,2025-12-13 21:51:10,"82,000",일시불,06,37828539,승인,1047385085
1531,골탕,2025-12-13 21:01:13,"69,000",일시불,02,30053271,승인,1047385085
1532,어부의딸,2025-12-13 20:47:11,"94,000",일시불,04,78705779,승인,1047375472
1533,골탕,2025-12-13 20:36:15,"59,000",일시불,06,37118362,승인,1047385085
1534,귀한족발가락시장점,2025-12-13 20:26:15,"52,000",일시불,01,32284777,승인,1047365675
1535,미슐랭(즉),2025-12-13 20:26:15,"490,000",일시불,02,25870435,승인,1047370806
1536,골탕,2025-12-13 20:12:13,"63,000",일시불,06,36872778,승인,1047385085
1537,귀한족발가락시장점,2025-12-13 19:57:14,"61,000",일시불,02,30041118,승인,1047365675
1538,크라운족발야탑점,2025-12-13 19:51:10,"58,200",일시불,03,26206315,승인,1047363149
1539,어부의딸,2025-12-13 19:44:14,"69,000",일시불,03,19110609,승인,1047375472
1540,귀한족발가락시장점,2025-12-13 19:05:13,"45,000",일시불,07,00026127,승인,1047365675
1541,거북이(즉),2025-12-13 18:53:10,"1,180,000",일시불,08,65388718,승인,1047406300
1542,푸라닭서초2동점,2025-12-13 18:05:15,"14,200",일시불,02,27011911,승인,1047365188
1543,기분좋은타이,2025-12-13 18:03:13,"38,500",일시불,06,35277869,승인,1047373153
1544,크라운족발야탑점,2025-12-13 17:48:14,"12,000",일시불,06,35068965,승인,1047363149
1545,에스케이클린텍(사),2025-12-13 17:34:42,"560,000",일시불,01,31221116,승인,WNO1761703600
1546,토브,2025-12-13 17:23:11,"100,000",일시불,06,34769854,승인,1047367468
1547,신나라콜라텍3,2025-12-13 17:14:15,"4,000",일시불,02,34681557,승인,1047334509
1548,귀한족발가락시장점,2025-12-13 16:55:10,"39,000",일시불,01,30959723,승인,1047365675
1549,신나라콜라텍2,2025-12-13 16:53:15,"2,000",일시불,12,54515113,승인,1047334508
1550,신나라콜라텍2,2025-12-13 16:50:17,"20,000",일시불,12,54485997,승인,1047334508
1551,신나라콜라텍3,2025-12-13 16:48:23,"8,000",일시불,01,30929886,승인,1047334509
1552,어부의딸,2025-12-13 16:46:18,"69,000",일시불,06,34298481,승인,1047375472
1553,신나라콜라텍3,2025-12-13 16:39:50,"11,000",일시불,01,30869778,승인,1047334509
1554,신나라콜라텍2,2025-12-13 16:38:44,"11,000",일시불,31,82400051,승인,1047334508
1555,신나라콜라텍1,2025-12-13 16:30:24,"8,000",일시불,01,30798185,승인,1047334507
1556,신나라콜라텍1,2025-12-13 16:14:11,"8,000",일시불,07,30070155,승인,1047334507
1557,신나라콜라텍1,2025-12-13 16:11:34,"7,000",일시불,12,54103870,승인,1047334507
1558,귀한족발가락시장점,2025-12-13 16:10:17,"63,000",일시불,03,10352707,승인,1047365675
1559,신나라콜라텍1,2025-12-13 16:06:31,"28,000",일시불,31,83652854,승인,1047334507
1560,신나라콜라텍1,2025-12-13 16:06:05,"9,000",일시불,01,30330169,승인,1047334507
1561,신나라콜라텍1,2025-12-13 16:02:27,"8,000",일시불,01,30310078,승인,1047334507
1562,신나라콜라텍2,2025-12-13 15:55:36,"5,000",일시불,01,30265078,승인,1047334508
1563,신나라콜라텍2,2025-12-13 15:54:21,"36,000",일시불,12,53930340,승인,1047334508
1564,이마트24마시안해변점,2025-12-13 15:54:10,"10,000",일시불,06,33654770,승인,1047369574
1565,신나라콜라텍2,2025-12-13 15:51:33,"3,000",일시불,27,03354405,승인,1047334508
1566,신나라콜라텍2,2025-12-13 15:50:39,"15,000",일시불,01,30241624,승인,1047334508
1567,신나라콜라텍2,2025-12-13 15:44:07,"13,000",일시불,01,30199342,승인,1047334508
1568,신나라콜라텍2,2025-12-13 15:34:59,"4,000",일시불,27,02354405,승인,1047334508
1569,신나라콜라텍2,2025-12-13 15:33:28,"13,000",일시불,27,01354405,승인,1047334508
1570,신나라콜라텍2,2025-12-13 15:28:18,"3,000",일시불,12,53664982,승인,1047334508
1571,신나라콜라텍2,2025-12-13 15:16:12,"8,000",일시불,01,30048176,승인,1047334508
1572,이마트24마시안해변점,2025-12-13 15:16:11,"5,000",일시불,04,64974408,승인,1047369574
1573,신나라콜라텍2,2025-12-13 15:15:32,"4,000",일시불,12,53530790,승인,1047334508
1574,신나라콜라텍1,2025-12-13 15:15:14,"6,000",일시불,12,53527763,승인,1047334507
1575,신나라콜라텍2,2025-12-13 15:11:17,"13,000",일시불,05,28841132,승인,1047334508
1576,신나라콜라텍1,2025-12-13 15:10:23,"5,000",일시불,01,30016620,승인,1047334507
1577,신나라콜라텍1,2025-12-13 15:07:52,"20,000",일시불,02,33080396,승인,1047334507
1578,신나라콜라텍1,2025-12-13 15:06:35,"4,000",일시불,01,30001517,승인,1047334507
1579,신나라콜라텍1,2025-12-13 15:02:54,"13,000",일시불,12,53395505,승인,1047334507
1580,신나라콜라텍2,2025-12-13 15:02:27,"32,000",일시불,02,32999734,승인,1047334508
1581,신나라콜라텍2,2025-12-13 14:58:13,"16,000",일시불,05,38903278,승인,1047334508
1582,신나라콜라텍2,2025-12-13 14:53:20,"6,000",일시불,12,53291514,승인,1047334508
1583,귀한족발가락시장점,2025-12-13 14:52:15,"35,000",일시불,02,30099508,승인,1047365675
1584,신나라콜라텍2,2025-12-13 14:51:40,"3,000",일시불,01,68914304,승인,1047334508
1585,신나라콜라텍2,2025-12-13 14:50:10,"3,000",일시불,01,68906534,승인,1047334508
1586,신나라콜라텍2,2025-12-13 14:48:51,"3,000",일시불,01,68896598,승인,1047334508
1587,신나라콜라텍2,2025-12-13 14:48:27,"3,000",일시불,12,53238358,승인,1047334508
1588,신나라콜라텍2,2025-12-13 14:48:06,"13,000",일시불,12,53234525,승인,1047334508
1589,신나라콜라텍2,2025-12-13 14:46:10,"13,000",일시불,07,30066423,승인,1047334508
1590,신나라콜라텍1,2025-12-13 14:41:44,"18,000",일시불,12,53164587,승인,1047334507
1591,신나라콜라텍2,2025-12-13 14:40:35,"13,000",일시불,12,53152132,승인,1047334508
1592,신나라콜라텍2,2025-12-13 14:39:40,"23,000",일시불,01,68852048,승인,1047334508
1593,신나라콜라텍2,2025-12-13 14:33:24,"16,000",일시불,07,30023128,승인,1047334508
1594,신나라콜라텍3,2025-12-13 14:28:58,"2,000",일시불,02,32548308,승인,1047334509
1595,신나라콜라텍2,2025-12-13 14:27:49,"13,000",일시불,12,53011051,승인,1047334508
1596,신나라콜라텍1,2025-12-13 14:22:37,"9,000",일시불,05,38422095,승인,1047334507
1597,신나라콜라텍2,2025-12-13 14:19:26,"17,000",일시불,31,82431022,승인,1047334508
1598,신나라콜라텍2,2025-12-13 14:13:45,"19,000",일시불,12,52850193,승인,1047334508
1599,신나라콜라텍2,2025-12-13 14:12:37,"6,000",일시불,12,52837052,승인,1047334508
1600,신나라콜라텍2,2025-12-13 14:11:21,"33,000",일시불,07,30007664,승인,1047334508
1601,신나라콜라텍2,2025-12-13 14:10:53,"13,000",일시불,01,68694865,승인,1047334508
1602,신나라콜라텍2,2025-12-13 14:08:55,"14,000",일시불,12,52793656,승인,1047334508
1603,신나라콜라텍1,2025-12-13 14:03:45,"14,000",일시불,07,30022402,승인,1047334507
1604,가을다방,2025-12-13 14:02:12,"10,000",일시불,02,23088929,승인,1047388121
1605,신나라콜라텍2,2025-12-13 14:01:53,"2,000",일시불,01,68639803,승인,1047334508
1606,신나라콜라텍3,2025-12-13 14:01:35,"6,000",일시불,27,22581784,승인,1047334509
1607,신나라콜라텍2,2025-12-13 14:00:07,"18,000",일시불,01,68641143,승인,1047334508
1608,푸라닭서초2동점,2025-12-13 13:49:15,"22,900",일시불,15,82840723,승인,1047365188
1609,신나라콜라텍2,2025-12-13 13:48:39,"15,000",일시불,01,68563638,승인,1047334508
1610,신나라콜라텍2,2025-12-13 13:47:57,"26,000",일시불,01,68558550,승인,1047334508
1611,신나라콜라텍2,2025-12-13 13:44:08,"20,000",일시불,01,68541263,승인,1047334508
1612,신나라콜라텍2,2025-12-13 13:39:17,"29,000",일시불,02,31847100,승인,1047334508
1613,거북이(즉),2025-12-13 13:34:19,"640,000",일시불,02,30115939,승인,1047406300
1614,신나라콜라텍2,2025-12-13 13:26:02,"13,000",일시불,12,52276195,승인,1047334508
1615,신나라콜라텍2,2025-12-13 13:24:57,"13,000",일시불,01,68435483,승인,1047334508
1616,신나라콜라텍2,2025-12-13 13:23:03,"23,000",일시불,01,68422536,승인,1047334508
1617,신나라콜라텍2,2025-12-13 13:09:39,"20,000",일시불,03,38154579,승인,1047334508
1618,신나라콜라텍2,2025-12-13 13:08:47,"10,000",일시불,01,68339572,승인,1047334508
1619,신나라콜라텍2,2025-12-13 13:04:58,"4,000",일시불,07,30023573,승인,1047334508
1620,신나라콜라텍2,2025-12-13 13:04:31,"21,000",일시불,01,68320136,승인,1047334508
1621,에스케이클린텍(사),2025-12-13 13:03:20,"590,000",일시불,07,30022922,승인,WNO1761703600
1622,가을다방,2025-12-13 13:00:18,"14,500",일시불,03,20313002,승인,1047388121
1623,귀한족발가락시장점,2025-12-13 12:58:11,"4,000",일시불,04,44818250,승인,1047365675
1624,신나라콜라텍2,2025-12-13 12:58:02,"22,000",일시불,07,30109529,승인,1047334508
1625,신나라콜라텍2,2025-12-13 12:57:03,"24,000",일시불,01,68269320,승인,1047334508
1626,귀한족발가락시장점,2025-12-13 12:39:12,"142,000",일시불,06,30918629,승인,1047365675
1627,신나라콜라텍2,2025-12-13 12:28:22,"19,000",일시불,12,51517041,승인,1047334508
1628,토브,2025-12-13 12:24:16,"120,000",2개월,03,19109207,승인,1047367468
1629,토브,2025-12-13 12:23:14,"60,000",일시불,02,30035202,승인,1047367468
1630,귀한족발가락시장점,2025-12-13 12:15:09,"59,000",일시불,04,66104195,승인,1047365675
1631,서울35아1741,2025-12-13 11:40:09,"109,800",일시불,12,50867826,승인,1047369580
1632,신나라콜라텍2,2025-12-13 11:27:49,"36,000",일시불,12,50743664,승인,1047334508
1633,귀한족발가락시장점,2025-12-13 11:20:13,"86,000",일시불,01,67753212,승인,1047365675
1634,에스케이클린텍(사),2025-12-13 11:15:08,"350,000",일시불,05,20562844,승인,WNO1761703600
1635,유앤미(즉),2025-12-13 09:55:09,"180,000",일시불,03,00201400,승인,1047407412
1636,유앤미(즉),2025-12-13 09:02:13,"180,000",일시불,03,09200400,승인,1047407412
1637,라온호텔호남뷔페,2025-12-13 08:16:11,"24,000",일시불,01,66966317,승인,1047401852
1638,라온호텔호남뷔페,2025-12-13 08:01:12,"24,000",일시불,01,66926032,승인,1047401852
1639,라온호텔호남뷔페,2025-12-13 08:00:08,"24,000",일시불,02,30050519,승인,1047401852
1640,라온호텔호남뷔페,2025-12-13 07:59:08,"12,000",일시불,01,66915526,승인,1047401852
1641,라온호텔호남뷔페,2025-12-13 07:33:13,"12,000",일시불,15,82340649,승인,1047401852
1642,귀한족발가락시장점,2025-12-13 07:31:13,"78,000",일시불,03,34573045,승인,1047365675
1643,유앤미(즉),2025-12-13 07:24:11,"430,000",일시불,03,08200400,승인,1047407412
1644,라온호텔호남뷔페,2025-12-13 07:15:11,"24,000",일시불,06,27747624,승인,1047401852
1645,라온호텔호남뷔페,2025-12-13 07:01:09,"36,000",일시불,01,66821258,승인,1047401852
1646,한우농가(즉),2025-12-13 06:00:11,"330,000",일시불,04,47643253,승인,1047406297
1647,한우농가(즉),2025-12-13 05:30:09,"130,000",일시불,04,95450540,승인,1047406297
1648,황해(즉),2025-12-13 05:25:09,"1,750,000",일시불,03,23790001,승인,1047406299
1649,갤럭시(즉),2025-12-13 04:31:13,"650,000",일시불,07,00859655,승인,1047407413
1650,유앤미(즉),2025-12-13 03:59:11,"440,000",일시불,04,24190991,승인,1047407412
1651,꽃보다한우(즉),2025-12-13 03:48:14,"1,410,000",일시불,01,66570997,승인,1047363479
1652,한우농가(즉),2025-12-13 03:34:11,"308,000",일시불,06,27390695,승인,1047406297
1653,한우농가(즉),2025-12-13 03:33:11,"308,000",일시불,15,83521841,승인취소,1047406297
1654,한우농가(즉),2025-12-13 03:31:15,"-308,000",일시불,15,83521841,취소,1047406297
1655,신세계,2025-12-13 02:39:16,"810,000",일시불,01,66491519,승인,1047380775
1656,럭셔리(즉),2025-12-13 02:35:15,"330,000",일시불,15,82401057,승인,1047406302
1657,꽃보다한우(즉),2025-12-13 02:27:21,"2,200,000",일시불,01,66480673,승인,1047363479
1658,거북이(즉),2025-12-13 02:14:16,"2,400,000",일시불,04,72843061,승인,1047406300
1659,갤럭시(즉),2025-12-13 01:41:15,"1,100,000",일시불,03,22412109,승인,1047407413
1660,신세계,2025-12-13 01:29:09,"240,000",일시불,08,64561743,승인,1047380775
1661,풀하우스(즉),2025-12-13 01:28:08,"550,000",일시불,04,69603505,승인,1047400436
1662,비오니,2025-12-13 01:06:11,"990,000",일시불,06,26697811,승인,1047376389
1663,에쿠스(즉),2025-12-13 00:47:13,"270,000",3개월,07,00384395,승인,1047377937
1664,럭셔리(즉),2025-12-13 00:28:13,"330,000",일시불,07,00019248,승인,1047406302
1665,기분좋은타이,2025-12-13 00:15:07,"132,000",일시불,15,83640127,승인,1047373153
1666,풀하우스(즉),2025-12-13 00:11:12,"550,000",일시불,02,30030297,승인취소,1047400436
1667,풀하우스(즉),2025-12-13 00:09:48,"-550,000",일시불,02,30030297,취소,1047400436
1668,서울35아1741,2025-12-13 00:08:15,"119,100",일시불,06,26300846,승인,1047369580
1669,크라운족발야탑점,2025-12-12 23:58:14,"222,400",일시불,02,30034540,승인,1047363149
1670,체리,2025-12-12 23:48:16,"110,000",3개월,04,77021455,승인,1047377197
1671,골탕,2025-12-12 23:27:15,"101,000",일시불,08,67554070,승인,1047385085
1672,라온,2025-12-12 23:19:20,"590,000",일시불,06,25986890,승인,1047373152
1673,귀한족발가락시장점,2025-12-12 23:11:10,"87,000",일시불,01,65754379,승인,1047365675
1674,에비앙,2025-12-12 23:09:13,"1,900,000",일시불,01,65739611,승인,1047373517
1675,귀한족발가락시장점,2025-12-12 22:55:16,"63,000",일시불,02,30017134,승인,1047365675
1676,쇼탑(즉),2025-12-12 22:48:16,"2,000,000",5개월,08,58673021,승인,1047380776
1677,풀하우스(즉),2025-12-12 22:47:20,"275,000",일시불,04,52402962,승인,1047400436
1678,쇼탑(즉),2025-12-12 22:46:19,"5,000,000",5개월,02,30095785,승인,1047380776
1679,쇼탑(즉),2025-12-12 22:46:16,"2,200,000",5개월,04,11888349,승인,1047380776
1680,쇼탑(즉),2025-12-12 22:45:16,"5,000,000",5개월,02,30095774,승인,1047380776
1681,토마토,2025-12-12 22:33:17,"100,000",일시불,06,25636034,승인,1047375474
1682,토마토,2025-12-12 22:32:13,"200,000",일시불,07,00105316,승인,1047375474
1683,스위트(즉),2025-12-12 22:28:08,"400,000",일시불,08,51993092,승인,1047406366
1684,귀한족발가락시장점,2025-12-12 22:26:12,"66,000",일시불,07,00350572,승인,1047365675
1685,귀한족발가락시장점,2025-12-12 22:23:11,"33,000",일시불,06,25544010,승인,1047365675
1686,거북이(즉),2025-12-12 22:20:26,"330,000",일시불,04,52290884,승인취소,1047406300
1687,귀한족발가락시장점,2025-12-12 22:20:15,"33,000",일시불,01,65542839,승인,1047365675
1688,골탕,2025-12-12 22:19:19,"74,000",일시불,01,65533888,승인,1047385085
1689,거북이(즉),2025-12-12 22:18:01,"-330,000",일시불,04,52290884,취소,1047406300
1690,거북이(즉),2025-12-12 22:17:21,"400,000",일시불,01,65523428,승인,1047406300
1691,어부의딸,2025-12-12 22:15:17,"79,000",일시불,06,25503582,승인,1047375472
1692,귀한족발가락시장점,2025-12-12 21:59:11,"61,000",일시불,02,30005178,승인,1047365675
1693,귀한족발가락시장점,2025-12-12 21:38:17,"24,000",일시불,03,16351607,승인,1047365675
1694,귀한족발가락시장점,2025-12-12 21:29:07,"56,000",일시불,04,22550140,승인,1047365675
1695,한우농가(즉),2025-12-12 21:17:13,"30,000",일시불,02,29254595,승인,1047406297
1696,골탕,2025-12-12 21:13:15,"77,000",일시불,07,00882913,승인,1047385085
1697,황해(즉),2025-12-12 21:13:13,"560,000",일시불,03,10790901,승인,1047406299
1698,골탕,2025-12-12 21:07:14,"104,000",일시불,06,24826367,승인,1047385085
1699,골탕,2025-12-12 21:05:19,"82,000",일시불,02,23002698,승인,1047385085
1700,골탕,2025-12-12 20:55:14,"60,000",일시불,02,30048479,승인,1047385085
1701,귀한족발가락시장점,2025-12-12 20:45:12,"64,000",일시불,08,53024737,승인,1047365675
1702,크라운족발야탑점,2025-12-12 20:26:16,"62,000",일시불,06,24361777,승인,1047363149
1703,귀한족발가락시장점,2025-12-12 20:25:13,"58,000",일시불,01,64939288,승인,1047365675
1704,꽃보다한우(즉),2025-12-12 20:23:13,"500,000",일시불,04,49967113,승인취소,1047363479
1705,꽃보다한우(즉),2025-12-12 20:21:50,"-500,000",일시불,04,49967113,취소,1047363479
1706,크라운족발야탑점,2025-12-12 20:18:12,"35,000",일시불,02,30095702,승인,1047363149
1707,귀한족발가락시장점,2025-12-12 20:12:13,"62,500",일시불,12,47161268,승인,1047365675
1708,크라운족발야탑점,2025-12-12 19:50:13,"27,000",일시불,01,64737335,승인,1047363149
1709,귀한족발가락시장점,2025-12-12 19:32:11,"12,000",일시불,01,64632039,승인,1047365675
1710,귀한족발가락시장점,2025-12-12 19:31:18,"177,000",일시불,01,64618490,승인,1047365675
1711,어부의딸,2025-12-12 19:21:08,"153,000",일시불,01,64562763,승인,1047375472
1712,귀한족발가락시장점,2025-12-12 19:11:16,"1,165,000",일시불,03,22557031,승인,1047365675
1713,귀한족발가락시장점,2025-12-12 18:52:17,"43,000",일시불,04,80062895,승인,1047365675
1714,거북이(즉),2025-12-12 18:41:16,"900,000",일시불,02,30010111,승인,1047406300
1715,골탕,2025-12-12 18:34:14,"96,000",일시불,02,30020184,승인,1047385085
1716,크라운족발야탑점,2025-12-12 18:18:15,"78,000",일시불,03,08109103,승인,1047363149
